year,quarter,state,gennme_c,suppression_used,total_prescriptions
2019,1,nj,Zolpidem Tartrate,FALSE,22528
2019,1,nj,Zolpidem Tartrate,TRUE,0
2019,1,nm,Eszopiclone,FALSE,415
2019,1,nm,Eszopiclone,TRUE,0
2019,1,nm,Zaleplon,FALSE,107
2019,1,nm,Zaleplon,TRUE,0
2019,1,nm,Zolpidem Tartrate,FALSE,5870
2019,1,nm,Zolpidem Tartrate,TRUE,0
2019,1,nv,Eszopiclone,FALSE,39
2019,1,nv,Eszopiclone,TRUE,0
2019,1,nv,Zaleplon,FALSE,132
2019,1,nv,Zaleplon,TRUE,0
2019,1,nv,Zolpidem Tartrate,FALSE,6960
2019,1,nv,Zolpidem Tartrate,TRUE,0
2019,1,ny,Eszopiclone,FALSE,1636
2019,1,ny,Eszopiclone,TRUE,0
2019,1,ny,Zaleplon,FALSE,1107
2019,1,ny,Zaleplon,TRUE,0
2019,1,ny,Zolpidem Tartrate,FALSE,82652
2019,1,ny,Zolpidem Tartrate,TRUE,0
2019,1,oh,Eszopiclone,FALSE,1542
2019,1,oh,Eszopiclone,TRUE,0
2019,1,oh,Zaleplon,FALSE,898
2019,1,oh,Zaleplon,TRUE,0
2019,1,oh,Zolpidem Tartrate,FALSE,26987
2019,1,oh,Zolpidem Tartrate,TRUE,0
2019,1,ok,Eszopiclone,FALSE,638
2019,1,ok,Eszopiclone,TRUE,0
2019,1,ok,Zaleplon,FALSE,118
2019,1,ok,Zaleplon,TRUE,0
2019,1,ok,Zolpidem Tartrate,FALSE,4012
2019,1,ok,Zolpidem Tartrate,TRUE,0
2019,1,or,Eszopiclone,FALSE,30
2019,1,or,Eszopiclone,TRUE,0
2019,1,or,Zaleplon,FALSE,125
2019,1,or,Zaleplon,TRUE,0
2019,1,or,Zolpidem Tartrate,FALSE,4335
2019,1,or,Zolpidem Tartrate,TRUE,0
2019,1,pa,Eszopiclone,FALSE,1053
2019,1,pa,Eszopiclone,TRUE,0
2019,1,pa,Zaleplon,FALSE,1175
2019,1,pa,Zaleplon,TRUE,0
2019,1,pa,Zolpidem Tartrate,FALSE,35546
2019,1,pa,Zolpidem Tartrate,TRUE,0
2019,1,ri,Eszopiclone,FALSE,194
2019,1,ri,Eszopiclone,TRUE,0
2019,1,ri,Zaleplon,FALSE,147
2019,1,ri,Zaleplon,TRUE,0
2019,1,ri,Zolpidem Tartrate,FALSE,3865
2019,1,ri,Zolpidem Tartrate,TRUE,0
2019,1,sc,Eszopiclone,FALSE,195
2019,1,sc,Eszopiclone,TRUE,0
2019,1,sc,Zaleplon,FALSE,75
2019,1,sc,Zaleplon,TRUE,0
2019,1,sc,Zolpidem Tartrate,FALSE,1726
2019,1,sc,Zolpidem Tartrate,TRUE,0
2019,1,sd,Eszopiclone,FALSE,83
2019,1,sd,Eszopiclone,TRUE,0
2019,1,sd,Zaleplon,TRUE,0
2019,1,sd,Zolpidem Tartrate,FALSE,620
2019,1,sd,Zolpidem Tartrate,TRUE,0
2019,1,tn,Eszopiclone,FALSE,220
2019,1,tn,Eszopiclone,TRUE,0
2019,1,tn,Zaleplon,FALSE,13
2019,1,tn,Zaleplon,TRUE,0
2019,1,tn,Zolpidem Tartrate,FALSE,1812
2019,1,tn,Zolpidem Tartrate,TRUE,0
2019,1,tx,Eszopiclone,FALSE,1200
2019,1,tx,Eszopiclone,TRUE,0
2019,1,tx,Zaleplon,FALSE,142
2019,1,tx,Zaleplon,TRUE,0
2019,1,tx,Zolpidem Tartrate,FALSE,22050
2019,1,tx,Zolpidem Tartrate,TRUE,0
2019,1,ut,Eszopiclone,FALSE,209
2019,1,ut,Eszopiclone,TRUE,0
2019,1,ut,Zaleplon,FALSE,48
2019,1,ut,Zaleplon,TRUE,0
2019,1,ut,Zolpidem Tartrate,FALSE,3608
2019,1,ut,Zolpidem Tartrate,TRUE,0
2019,1,va,Eszopiclone,FALSE,631
2019,1,va,Eszopiclone,TRUE,0
2019,1,va,Zaleplon,FALSE,96
2019,1,va,Zaleplon,TRUE,0
2019,1,va,Zolpidem Tartrate,FALSE,9690
2019,1,va,Zolpidem Tartrate,TRUE,0
2019,1,vt,Eszopiclone,FALSE,120
2019,1,vt,Eszopiclone,TRUE,0
2019,1,vt,Zaleplon,FALSE,52
2019,1,vt,Zaleplon,TRUE,0
2019,1,vt,Zolpidem Tartrate,FALSE,1683
2019,1,vt,Zolpidem Tartrate,TRUE,0
2019,1,wa,Eszopiclone,FALSE,464
2019,1,wa,Eszopiclone,TRUE,0
2019,1,wa,Zaleplon,FALSE,421
2019,1,wa,Zaleplon,TRUE,0
2019,1,wa,Zolpidem Tartrate,FALSE,13066
2019,1,wa,Zolpidem Tartrate,TRUE,0
2019,1,wi,Eszopiclone,FALSE,1290
2019,1,wi,Eszopiclone,TRUE,0
2019,1,wi,Zaleplon,FALSE,626
2019,1,wi,Zaleplon,TRUE,0
2019,1,wi,Zolpidem Tartrate,FALSE,15330
2019,1,wi,Zolpidem Tartrate,TRUE,0
2019,1,wv,Eszopiclone,FALSE,19
2019,1,wv,Eszopiclone,TRUE,0
2019,1,wv,Zaleplon,TRUE,0
2019,1,wv,Zolpidem Tartrate,FALSE,3771
2019,1,wv,Zolpidem Tartrate,TRUE,0
2019,1,wy,Eszopiclone,TRUE,0
2019,1,wy,Zaleplon,TRUE,0
2019,1,wy,Zolpidem Tartrate,FALSE,333
2019,1,wy,Zolpidem Tartrate,TRUE,0
2019,2,ak,Eszopiclone,FALSE,217
2019,2,ak,Eszopiclone,TRUE,0
2019,2,ak,Zaleplon,FALSE,39
2019,2,ak,Zaleplon,TRUE,0
2019,2,ak,Zolpidem Tartrate,FALSE,1800
2019,2,ak,Zolpidem Tartrate,TRUE,0
2019,2,al,Eszopiclone,FALSE,471
2019,2,al,Eszopiclone,TRUE,0
2019,2,al,Zaleplon,FALSE,12
2019,2,al,Zaleplon,TRUE,0
2019,2,al,Zolpidem Tartrate,FALSE,2781
2019,2,al,Zolpidem Tartrate,TRUE,0
2019,2,ar,Eszopiclone,TRUE,0
2019,2,ar,Zaleplon,FALSE,421
2019,2,ar,Zaleplon,TRUE,0
2019,2,ar,Zolpidem Tartrate,FALSE,5656
2019,2,ar,Zolpidem Tartrate,TRUE,0
2019,2,az,Eszopiclone,FALSE,915
2019,2,az,Eszopiclone,TRUE,0
2019,2,az,Zaleplon,FALSE,197
2019,2,az,Zaleplon,TRUE,0
2019,2,az,Zolpidem Tartrate,FALSE,12199
2019,2,az,Zolpidem Tartrate,TRUE,0
2019,2,ca,Eszopiclone,FALSE,2851
2019,2,ca,Eszopiclone,TRUE,0
2019,2,ca,Zaleplon,FALSE,717
2019,2,ca,Zaleplon,TRUE,0
2019,2,ca,Zolpidem Tartrate,FALSE,60388
2019,2,ca,Zolpidem Tartrate,TRUE,0
2019,2,co,Eszopiclone,FALSE,2327
2019,2,co,Eszopiclone,TRUE,0
2019,2,co,Zaleplon,FALSE,317
2019,2,co,Zaleplon,TRUE,0
2019,2,co,Zolpidem Tartrate,FALSE,10414
2019,2,co,Zolpidem Tartrate,TRUE,0
2019,2,ct,Eszopiclone,FALSE,927
2019,2,ct,Eszopiclone,TRUE,0
2019,2,ct,Zaleplon,FALSE,53
2019,2,ct,Zaleplon,TRUE,0
2019,2,ct,Zolpidem Tartrate,FALSE,12767
2019,2,ct,Zolpidem Tartrate,TRUE,0
2019,2,dc,Eszopiclone,TRUE,0
2019,2,dc,Zaleplon,TRUE,0
2019,2,dc,Zolpidem Tartrate,FALSE,1529
2019,2,dc,Zolpidem Tartrate,TRUE,0
2019,2,de,Eszopiclone,FALSE,120
