year,gennme,prodnme,state,quarter,totalRXImputed
2017,Eszopiclone,ESZOPICLONE,IN,1,1564
2017,Eszopiclone,LUNESTA,IN,1,30
2017,Zaleplon,ZALEPLON,IN,1,488
2017,Zolpidem Tartrate,AMBIEN,IN,1,10
2017,Zolpidem Tartrate,AMBIEN CR,IN,1,10
2017,Zolpidem Tartrate,EDLUAR,IN,1,30
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,IN,1,13271
2017,Zolpidem Tartrate,ZOLPIMIST,IN,1,10
2017,Eszopiclone,ESZOPICLONE,IN,2,1643
2017,Zaleplon,ZALEPLON,IN,2,391
2017,Zolpidem Tartrate,AMBIEN,IN,2,10
2017,Zolpidem Tartrate,EDLUAR,IN,2,20
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,IN,2,12754
2017,Zolpidem Tartrate,ZOLPIMIST,IN,2,20
2017,Eszopiclone,ESZOPICLONE,IN,3,1631
2017,Zaleplon,ZALEPLON,IN,3,394
2017,Zolpidem Tartrate,AMBIEN,IN,3,10
2017,Zolpidem Tartrate,EDLUAR,IN,3,20
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,IN,3,12437
2017,Zolpidem Tartrate,ZOLPIMIST,IN,3,10
2017,Eszopiclone,ESZOPICLONE,IN,4,1788
2017,Zaleplon,ZALEPLON,IN,4,342
2017,Zolpidem Tartrate,AMBIEN,IN,4,10
2017,Zolpidem Tartrate,EDLUAR,IN,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,IN,4,12247
2017,Zolpidem Tartrate,ZOLPIMIST,IN,4,10
2017,Eszopiclone,ESZOPICLONE,KS,1,423
2017,Zaleplon,ZALEPLON,KS,1,87
2017,Zolpidem Tartrate,AMBIEN,KS,1,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,KS,1,4281
2017,Eszopiclone,ESZOPICLONE,KS,2,775
2017,Zaleplon,ZALEPLON,KS,2,205
2017,Zolpidem Tartrate,AMBIEN,KS,2,13
2017,Zolpidem Tartrate,INTERMEZZO,KS,2,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,KS,2,10011
2017,Eszopiclone,ESZOPICLONE,KS,3,339
2017,Zaleplon,ZALEPLON,KS,3,81
2017,Zolpidem Tartrate,AMBIEN,KS,3,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,KS,3,3699
2017,Eszopiclone,ESZOPICLONE,KS,4,365
2017,Zaleplon,ZALEPLON,KS,4,62
2017,Zolpidem Tartrate,AMBIEN,KS,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,KS,4,3642
2017,Eszopiclone,ESZOPICLONE,KY,1,431
2017,Eszopiclone,LUNESTA,KY,1,10
2017,Zaleplon,ZALEPLON,KY,1,121
2017,Zolpidem Tartrate,AMBIEN,KY,1,20
2017,Zolpidem Tartrate,AMBIEN CR,KY,1,20
2017,Zolpidem Tartrate,EDLUAR,KY,1,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,KY,1,13569
2017,Zolpidem Tartrate,ZOLPIMIST,KY,1,10
2017,Eszopiclone,ESZOPICLONE,KY,2,377
2017,Eszopiclone,LUNESTA,KY,2,20
2017,Zaleplon,ZALEPLON,KY,2,106
2017,Zolpidem Tartrate,AMBIEN,KY,2,20
2017,Zolpidem Tartrate,AMBIEN CR,KY,2,20
2017,Zolpidem Tartrate,EDLUAR,KY,2,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,KY,2,13584
2017,Eszopiclone,ESZOPICLONE,KY,3,392
2017,Eszopiclone,LUNESTA,KY,3,10
2017,Zaleplon,SONATA,KY,3,10
2017,Zaleplon,ZALEPLON,KY,3,108
2017,Zolpidem Tartrate,AMBIEN,KY,3,20
2017,Zolpidem Tartrate,AMBIEN CR,KY,3,20
2017,Zolpidem Tartrate,EDLUAR,KY,3,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,KY,3,13251
2017,Zolpidem Tartrate,ZOLPIMIST,KY,3,10
2017,Eszopiclone,ESZOPICLONE,KY,4,415
2017,Eszopiclone,LUNESTA,KY,4,10
2017,Zaleplon,ZALEPLON,KY,4,132
2017,Zolpidem Tartrate,AMBIEN,KY,4,20
2017,Zolpidem Tartrate,AMBIEN CR,KY,4,10
2017,Zolpidem Tartrate,EDLUAR,KY,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,KY,4,12966
2017,Eszopiclone,ESZOPICLONE,LA,1,480
2017,Eszopiclone,LUNESTA,LA,1,10
2017,Zaleplon,SONATA,LA,1,10
2017,Zaleplon,ZALEPLON,LA,1,390
2017,Zolpidem Tartrate,AMBIEN,LA,1,10
2017,Zolpidem Tartrate,AMBIEN CR,LA,1,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,LA,1,22319
2017,Eszopiclone,ESZOPICLONE,LA,2,529
2017,Eszopiclone,LUNESTA,LA,2,20
2017,Zaleplon,ZALEPLON,LA,2,458
2017,Zolpidem Tartrate,AMBIEN,LA,2,10
2017,Zolpidem Tartrate,AMBIEN CR,LA,2,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,LA,2,25278
2017,Eszopiclone,ESZOPICLONE,LA,3,482
2017,Eszopiclone,LUNESTA,LA,3,20
2017,Zaleplon,ZALEPLON,LA,3,485
2017,Zolpidem Tartrate,AMBIEN,LA,3,10
2017,Zolpidem Tartrate,AMBIEN CR,LA,3,10
2017,Zolpidem Tartrate,INTERMEZZO,LA,3,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,LA,3,23256
2017,Eszopiclone,ESZOPICLONE,LA,4,554
2017,Eszopiclone,LUNESTA,LA,4,20
2017,Zaleplon,ZALEPLON,LA,4,479
2017,Zolpidem Tartrate,AMBIEN,LA,4,10
2017,Zolpidem Tartrate,AMBIEN CR,LA,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,LA,4,23202
2017,Eszopiclone,ESZOPICLONE,MA,1,658
2017,Eszopiclone,LUNESTA,MA,1,20
2017,Zaleplon,ZALEPLON,MA,1,417
2017,Zolpidem Tartrate,AMBIEN,MA,1,30
2017,Zolpidem Tartrate,AMBIEN CR,MA,1,23
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,MA,1,19875
2017,Eszopiclone,ESZOPICLONE,MA,2,719
2017,Eszopiclone,LUNESTA,MA,2,20
2017,Zaleplon,SONATA,MA,2,10
2017,Zaleplon,ZALEPLON,MA,2,412
2017,Zolpidem Tartrate,AMBIEN,MA,2,45
2017,Zolpidem Tartrate,AMBIEN CR,MA,2,25
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,MA,2,20823
2017,Eszopiclone,ESZOPICLONE,MA,3,693
2017,Eszopiclone,LUNESTA,MA,3,20
2017,Zaleplon,ZALEPLON,MA,3,393
2017,Zolpidem Tartrate,AMBIEN,MA,3,30
2017,Zolpidem Tartrate,AMBIEN CR,MA,3,26
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,MA,3,18413
2017,Eszopiclone,ESZOPICLONE,MA,4,617
2017,Eszopiclone,LUNESTA,MA,4,20
2017,Zaleplon,ZALEPLON,MA,4,375
2017,Zolpidem Tartrate,AMBIEN,MA,4,30
2017,Zolpidem Tartrate,AMBIEN CR,MA,4,25
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,MA,4,17963
2017,Eszopiclone,ESZOPICLONE,MD,1,1223
2017,Eszopiclone,LUNESTA,MD,1,10
2017,Zaleplon,ZALEPLON,MD,1,460
2017,Zolpidem Tartrate,EDLUAR,MD,1,26
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,MD,1,19745
2017,Eszopiclone,ESZOPICLONE,MD,2,1247
2017,Eszopiclone,LUNESTA,MD,2,10
2017,Zaleplon,ZALEPLON,MD,2,444
2017,Zolpidem Tartrate,EDLUAR,MD,2,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,MD,2,18913
2017,Zolpidem Tartrate,ZOLPIMIST,MD,2,10
2017,Eszopiclone,ESZOPICLONE,MD,3,1090
2017,Eszopiclone,LUNESTA,MD,3,10
2017,Zaleplon,ZALEPLON,MD,3,398
2017,Zolpidem Tartrate,AMBIEN CR,MD,3,10
2017,Zolpidem Tartrate,EDLUAR,MD,3,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,MD,3,16973
2017,Eszopiclone,ESZOPICLONE,MD,4,1181
2017,Eszopiclone,LUNESTA,MD,4,10
2017,Zaleplon,ZALEPLON,MD,4,399
2017,Zolpidem Tartrate,EDLUAR,MD,4,10
2017,Zolpidem Tartrate,ZOLPIDEM TARTRATE,MD,4,18056
2017,Eszopiclone,ESZOPICLONE,ME,1,216
2017,Eszopiclone,LUNESTA,ME,1,10
2017,Zaleplon,SONATA,ME,1,10
2017,Zaleplon,ZALEPLON,ME,1,99
